algorithm,dataset_type,size,trial_count,median_time_seconds,mean_time_seconds,standard_deviation_seconds,minimum_time_seconds,maximum_time_seconds,comparisons,swaps,partition_calls,logical_recursive_calls,maximum_logical_depth,pivot_selections,status,error_message
Deterministic Last-Pivot Quicksort,random,100,5,0.0004247500000928994,0.0004312166000090656,2.302048598955476e-05,0.00040995800009113736,0.0004706250001618173,640,211,65,131,13,65,completed,
Randomized Quicksort,random,100,5,0.0004800410001735145,0.0004870582001785806,4.229496682032232e-05,0.00044354100009513786,0.0005576670000664308,622,307,66,133,14,66,completed,
Deterministic Last-Pivot Quicksort,random,1000,5,0.033488457999737875,0.03366816679999829,0.0004208746291381453,0.03337570900021092,0.03437912500021412,11667,5126,667,1335,24,667,completed,
Randomized Quicksort,random,1000,5,0.03344500000002881,0.033359683199978465,0.00019192954897044446,0.03307112499987852,0.0335164159996566,10532,5478,662,1325,21,662,completed,
Deterministic Last-Pivot Quicksort,random,3500,5,0.40275554199979524,0.40218738320008923,0.003379500781309355,0.39721112500001254,0.40656570800001646,46400,21759,2323,4647,30,2323,completed,
Randomized Quicksort,random,3500,5,0.3979170829998111,0.40256965819999097,0.008670546180615106,0.39352275000010195,0.41358358299976317,46355,23595,2327,4655,25,2327,completed,
Deterministic Last-Pivot Quicksort,random,5000,5,0.8197636670001884,0.8170866248000493,0.008085400808424592,0.8034938750001857,0.8240856659999736,73567,34330,3330,6661,29,3330,completed,
Randomized Quicksort,random,5000,5,0.8210212089998095,0.8219644998000148,0.01578592051208417,0.7979047910002919,0.8393174580000959,70278,35346,3335,6671,26,3335,completed,
Deterministic Last-Pivot Quicksort,random,7000,5,1.6237424159999136,1.6091067083999406,0.024172611823949763,1.5768743339999673,1.6289267500001188,106310,49525,4679,9359,30,4679,completed,
Randomized Quicksort,random,7000,5,1.6038372920002075,1.610881850200076,0.029632989979415977,1.573031459000049,1.654490375000023,100743,52403,4668,9337,29,4668,completed,
Deterministic Last-Pivot Quicksort,random,10000,5,3.2389834579998933,3.2122514583999875,0.050357279123018114,3.136621666999872,3.2572797500001798,155468,81230,6629,13259,29,6629,completed,
Randomized Quicksort,random,10000,5,3.224975166999684,3.2210163331998958,0.027080856442621124,3.1840207079999345,3.2577690829998573,155656,75344,6674,13349,31,6674,completed,
Deterministic Last-Pivot Quicksort,sorted,100,5,0.0008858750002218585,0.0008870832000866357,6.6043730990266025e-06,0.000879541999893263,0.0008968330002971925,4950,0,99,199,100,99,completed,
Randomized Quicksort,sorted,100,5,0.0004540420000012091,0.000449016600032337,1.2624620261258284e-05,0.00043370799994590925,0.0004639589997168514,692,96,67,135,14,67,completed,
Deterministic Last-Pivot Quicksort,sorted,1000,5,0.0827926669999215,0.08273183359997346,0.0004511423130292307,0.08197866700038503,0.08315770899980635,499500,0,999,1999,1000,999,completed,
Randomized Quicksort,sorted,1000,5,0.032891374999962864,0.03285551680000935,0.0001628939668566897,0.032626332999825536,0.0330141670001467,10644,1014,668,1337,21,668,completed,
Deterministic Last-Pivot Quicksort,sorted,3500,5,1.0408418750002966,1.0426416664001408,0.014690952619244111,1.0270693340003163,1.0657306660000359,6123250,0,3499,6999,3500,3499,completed,
Randomized Quicksort,sorted,3500,5,0.40784679199987295,0.4144158920001246,0.0191920708268052,0.40084087500008536,0.44747716700021556,47242,3498,2336,4673,26,2336,completed,
Deterministic Last-Pivot Quicksort,sorted,5000,5,2.10531145799996,2.105865366600028,0.008093436644558992,2.096807500000068,2.118919417000143,12497500,0,4999,9999,5000,4999,completed,
Randomized Quicksort,sorted,5000,5,0.7992393750000701,0.8009323584001322,0.004412176658186317,0.7971152499999334,0.8072485000002416,70211,4966,3332,6665,28,3332,completed,
Deterministic Last-Pivot Quicksort,sorted,7000,5,4.136068834000071,4.137911066800006,0.013108901920760722,4.122998457999984,4.158557041999757,24496500,0,6999,13999,7000,6999,completed,
Randomized Quicksort,sorted,7000,5,1.5598811249997198,1.5625857999999426,0.005635938503595774,1.5586977500001922,1.5722249999998894,103026,7012,4663,9327,29,4663,completed,
Deterministic Last-Pivot Quicksort,sorted,10000,5,8.466383375000078,8.479267683200032,0.03579663313288495,8.448382333000154,8.52932408300012,49995000,0,9999,19999,10000,9999,completed,
Randomized Quicksort,sorted,10000,5,3.1993260419999388,3.216004050399988,0.03624027614509025,3.180012917000113,3.269607791999988,152462,10072,6638,13277,30,6638,completed,
Deterministic Last-Pivot Quicksort,reverse_sorted,100,5,0.0008561249997001141,0.0008473581999169256,3.387899485059397e-05,0.0008021670000744052,0.0008807909998722607,4950,50,99,199,100,99,completed,
Randomized Quicksort,reverse_sorted,100,5,0.00046308299988595536,0.0004607331999068265,8.432290824077724e-06,0.00044587499996850966,0.00046637499963253504,665,314,67,135,14,67,completed,
Deterministic Last-Pivot Quicksort,reverse_sorted,1000,5,0.07661304199973529,0.07637802479994207,0.0009475664111223392,0.07499795800003994,0.07748741600016729,499500,500,999,1999,1000,999,completed,
Randomized Quicksort,reverse_sorted,1000,5,0.03366050000022369,0.03372446679995846,0.00037314430233660655,0.033359125000060885,0.03431366699987848,10982,4866,663,1327,21,663,completed,
Deterministic Last-Pivot Quicksort,reverse_sorted,3500,5,0.9381575839997822,0.9357075915999303,0.00882868823161824,0.9218369580003127,0.9452317909999692,6123250,1750,3499,6999,3500,3499,completed,
Randomized Quicksort,reverse_sorted,3500,5,0.3920155410000916,0.393269541599966,0.004282914343239218,0.3886605830002736,0.4001129579996814,46611,18248,2324,4649,27,2324,completed,
Deterministic Last-Pivot Quicksort,reverse_sorted,5000,5,1.8925334169998678,1.89455554999995,0.012274817819156793,1.8827763750000486,1.9138540419999117,12497500,2500,4999,9999,5000,4999,completed,
Randomized Quicksort,reverse_sorted,5000,5,0.8059243749999041,0.8054242084000179,0.002878315403268526,0.801140624999789,0.8091332920002969,70704,31168,3344,6689,28,3344,completed,
Deterministic Last-Pivot Quicksort,reverse_sorted,7000,5,3.722005958000409,3.7139751580000846,0.016833845771633157,3.695649916000093,3.728697832999842,24496500,3500,6999,13999,7000,6999,completed,
Randomized Quicksort,reverse_sorted,7000,5,1.5651178329999311,1.5659331745999225,0.005626479354012815,1.5593992909998633,1.574847666000096,99812,43258,4662,9325,29,4662,completed,
Deterministic Last-Pivot Quicksort,reverse_sorted,10000,5,7.556488332999834,7.556725483399896,0.013338311329574713,7.536397916999704,7.573010707999856,49995000,5000,9999,19999,10000,9999,completed,
Randomized Quicksort,reverse_sorted,10000,5,3.2341812499998923,3.2427742415999092,0.021694181494119762,3.221019707999858,3.272042125000098,153721,60164,6663,13327,31,6663,completed,
Deterministic Last-Pivot Quicksort,repeated_values,100,5,0.0005837500002598972,0.0005833336000250711,7.785642023193824e-06,0.0005708749999939755,0.0005921669999224832,874,225,90,181,17,90,completed,
Randomized Quicksort,repeated_values,100,5,0.0005994170001031307,0.0006057835999854433,9.642508820145523e-06,0.0005975419999231235,0.0006171669997456775,812,251,90,181,19,90,completed,
Deterministic Last-Pivot Quicksort,repeated_values,1000,5,0.05204362500035131,0.05217829160010297,0.0003951250648778983,0.05186870800025645,0.052862666999772046,53387,1951,990,1981,130,990,completed,
Randomized Quicksort,repeated_values,1000,5,0.052419916999951965,0.052554549999968,0.00035073856132552617,0.05224691700004769,0.053017457999885664,54200,2448,990,1981,132,990,completed,
Deterministic Last-Pivot Quicksort,repeated_values,3500,5,0.6345817500000521,0.6347764501999336,0.0015230395835050215,0.6330175419998341,0.6367114999998194,623861,5272,3490,6981,373,3490,completed,
Randomized Quicksort,repeated_values,3500,5,0.6357327909995547,0.6363792747999468,0.001633521616048845,0.6343807500002185,0.6384470829998463,624825,9451,3490,6981,374,3490,completed,
Deterministic Last-Pivot Quicksort,repeated_values,5000,5,1.2954549999999472,1.2962600832000135,0.003609490062736682,1.2919679579999865,1.3019009579998055,1270783,9049,4990,9981,544,4990,completed,
Randomized Quicksort,repeated_values,5000,5,1.3008033339997382,1.3055494836000434,0.011911842967675779,1.2980099999999766,1.326724583000214,1268783,15796,4990,9981,539,4990,completed,
Deterministic Last-Pivot Quicksort,repeated_values,7000,5,2.5650749579999683,2.55540600000013,0.0158576970251365,2.5367256250001446,2.5680257920002987,2473233,15440,6990,13981,729,6990,completed,
Randomized Quicksort,repeated_values,7000,5,2.5685232499999984,2.5645576252000866,0.015987177652671096,2.5453109579998454,2.5809314170001016,2478682,22322,6990,13981,731,6990,completed,
Deterministic Last-Pivot Quicksort,repeated_values,10000,5,5.194372749999729,5.289111558399964,0.19378158541450857,5.128449249999903,5.604002625000248,5031031,19039,9990,19981,1049,9990,completed,
Randomized Quicksort,repeated_values,10000,5,5.426506249999875,5.427117199800068,0.19939453138956453,5.228073291000328,5.705538958000034,5051490,29954,9990,19981,1051,9990,completed,
